VRCamera,0.9690289,-0.2465761,1.662051,0.3764404,32.14482,253.3277,358.7633
Tracker1,0.9690289,0,0,0,0,0,0
Tracker2,0.9690289,0,0,0,0,0,0
Tracker3,0.9690289,0,0,0,0,0,0
LeftHand,0.9914801,0,0,0,0,0,0
RightHand,0.9914801,0,0,0,0,0,0
VRCamera,0.9914801,-0.2467436,1.661864,0.3763418,32.24707,253.3228,358.7679
Tracker1,0.9914801,0,0,0,0,0,0
Tracker2,0.9914801,0,0,0,0,0,0
Tracker3,0.9914801,0,0,0,0,0,0
LeftHand,1.013728,0,0,0,0,0,0
RightHand,1.013728,0,0,0,0,0,0
VRCamera,1.013728,-0.2469985,1.661687,0.37624,32.34959,253.3171,358.767
Tracker1,1.013728,0,0,0,0,0,0
Tracker2,1.013728,0,0,0,0,0,0
Tracker3,1.013728,0,0,0,0,0,0
LeftHand,1.037221,0,0,0,0,0,0
RightHand,1.037221,0,0,0,0,0,0
VRCamera,1.037221,-0.2473008,1.661494,0.3761089,32.4193,253.3157,358.7819
Tracker1,1.037221,0,0,0,0,0,0
Tracker2,1.037221,0,0,0,0,0,0
Tracker3,1.037221,0,0,0,0,0,0
LeftHand,1.068718,-0.4347689,1.34518,0.2519295,306.5218,246.7599,2.7038
RightHand,1.068718,-0.5446582,1.141311,0.4104852,340.2313,232.6069,42.14924
VRCamera,1.068718,-0.2476424,1.661331,0.376082,32.47284,253.3213,358.7958
Tracker1,1.068718,0,0,0,0,0,0
Tracker2,1.068718,0,0,0,0,0,0
Tracker3,1.068718,0,0,0,0,0,0
LeftHand,1.106175,-0.4351237,1.345218,0.2517777,306.4757,246.7228,2.652153
RightHand,1.106175,-0.545311,1.141382,0.4104335,340.1593,232.6059,42.22803
VRCamera,1.106175,-0.2478397,1.661168,0.3760986,32.49339,253.284,358.7809
Tracker1,1.106175,0,0,0,0,0,0
Tracker2,1.106175,0,0,0,0,0,0
Tracker3,1.106175,0,0,0,0,0,0
LeftHand,1.139293,-0.4353826,1.345397,0.2518222,306.4745,246.7057,2.624943
RightHand,1.139293,-0.5455854,1.141464,0.4106137,340.1007,232.6398,42.16619
VRCamera,1.139293,-0.2479635,1.661085,0.3761389,32.49596,253.28,358.772
Tracker1,1.139293,0,0,0,0,0,0
Tracker2,1.139293,0,0,0,0,0,0
Tracker3,1.139293,0,0,0,0,0,0
LeftHand,1.175278,-0.4352853,1.345351,0.2517709,306.4563,246.6765,2.638777
RightHand,1.175278,-0.545687,1.141959,0.4105114,340.0628,232.6324,42.17194
VRCamera,1.175278,-0.2480188,1.661091,0.3762696,32.49663,253.2712,358.7759
Tracker1,1.175278,0,0,0,0,0,0
Tracker2,1.175278,0,0,0,0,0,0
Tracker3,1.175278,0,0,0,0,0,0
LeftHand,1.201726,-0.4355757,1.345346,0.2518194,306.4455,246.7267,2.553194
RightHand,1.201726,-0.5461862,1.142161,0.4103302,340.0176,232.5806,42.22569
VRCamera,1.201726,-0.2479989,1.661033,0.3763485,32.50835,253.2383,358.752
Tracker1,1.201726,0,0,0,0,0,0
Tracker2,1.201726,0,0,0,0,0,0
Tracker3,1.201726,0,0,0,0,0,0
LeftHand,1.227531,-0.435631,1.345556,0.2519991,306.4052,246.7576,2.490159
RightHand,1.227531,-0.5461962,1.14232,0.4102524,339.9362,232.5673,42.17634
